gridSize,numBlueAgents,numRedAgents,flagPlacementType,ninsts,nblocks
10,1,1,A,195919,19826
10,1,1,B,495133,53817
10,1,1,C,667151,72698
10,1,3,A,918661,99635
10,1,3,B,436798,47395
10,1,3,C,1168952,128909
10,1,5,A,1505764,165218
10,1,5,B,572964,62195
10,1,5,C,1943021,216503
10,1,7,A,2794301,309335
10,1,7,B,847009,92266
10,1,7,C,2318649,257880
10,1,9,A,3310925,367102
10,1,9,B,1054335,115171
10,1,9,C,2403682,266246
10,3,1,A,827875,90454
10,3,1,B,832942,91426
10,3,1,C,671288,73429
10,3,3,A,1420056,155568
10,3,3,B,1102650,120587
10,3,3,C,1456367,160571
10,3,5,A,2145458,236009
10,3,5,B,1238714,135846
10,3,5,C,2222258,245508
10,3,7,A,3263263,360403
10,3,7,B,1147499,125459
10,3,7,C,2522084,278356
10,3,9,A,3882897,429810
10,3,9,B,1197311,130424
10,3,9,C,3159374,348553
10,5,1,A,1667696,184469
10,5,1,B,1424271,157130
10,5,1,C,1134666,124952
10,5,3,A,2251448,248429
10,5,3,B,1580182,173816
10,5,3,C,1631384,179476
10,5,5,A,2947029,325314
10,5,5,B,1794134,197332
10,5,5,C,2643334,292486
10,5,7,A,4014855,443530
10,5,7,B,2029648,223397
10,5,7,C,3546855,392842
10,5,9,A,4629256,511487
10,5,9,B,1714543,188373
10,5,9,C,3607049,397890
10,7,1,A,2394177,266720
10,7,1,B,1391007,153249
10,7,1,C,1373819,151074
10,7,3,A,2843225,315438
10,7,3,B,2022287,222166
10,7,3,C,2234751,246759
10,7,5,A,3472265,384124
10,7,5,B,2331837,256574
10,7,5,C,2621652,289243
10,7,7,A,4211389,465094
10,7,7,B,2249188,247027
10,7,7,C,3044965,335163
10,7,9,A,5185804,572499
10,7,9,B,1911001,209519
10,7,9,C,3615763,398646
10,9,1,A,2995218,333567
10,9,1,B,1271795,139958
10,9,1,C,1776157,194726
10,9,3,A,3402483,377313
10,9,3,B,1458491,160222
10,9,3,C,2608196,287166
10,9,5,A,3973865,439076
10,9,5,B,3221977,354613
10,9,5,C,3454826,381350
10,9,7,A,4565927,503314
10,9,7,B,2966006,325670
10,9,7,C,4248221,468572
10,9,9,A,5358239,589934
10,9,9,B,2055497,225956
10,9,9,C,4317786,475764
15,1,1,A,426075,43851
15,1,1,B,794376,85436
15,1,1,C,2125115,235784
15,1,3,A,2379160,262897
15,1,3,B,1452914,159683
15,1,3,C,2267112,249485
15,1,5,A,4772778,532761
15,1,5,B,2397458,264910
15,1,5,C,3967051,440538
15,1,7,A,8919734,1003892
15,1,7,B,4043999,448982
15,1,7,C,6183871,691244
15,1,9,A,12700647,1431791
15,1,9,B,4357146,485426
15,1,9,C,7883807,882247
15,3,1,A,2200902,241655
15,3,1,B,1180168,129002
15,3,1,C,2118453,233601
15,3,3,A,4139375,458816
15,3,3,B,2262360,249306
15,3,3,C,3910580,433121
15,3,5,A,6452326,719888
15,3,5,B,3679655,406712
15,3,5,C,5402726,601052
15,3,7,A,10540501,1184130
15,3,7,B,4281445,474817
15,3,7,C,7389938,824715
15,3,9,A,14320538,1611589
15,3,9,B,6270084,697055
15,3,9,C,9106035,1018168
15,5,1,A,5038515,561650
15,5,1,B,2808653,310294
15,5,1,C,3110520,344886
15,5,3,A,6955320,776199
15,5,3,B,3943502,436351
15,5,3,C,4556259,506059
15,5,5,A,9394671,1050563
15,5,5,B,4683648,519026
15,5,5,C,6720556,747557
15,5,7,A,13320900,1495608
15,5,7,B,5686856,631962
15,5,7,C,8638547,963146
15,5,9,A,17095664,1921952
15,5,9,B,7411683,822881
15,5,9,C,10122230,1130020
15,7,1,A,7874272,881598
15,7,1,B,3729797,412768
15,7,1,C,5621864,628903
15,7,3,A,9642536,1079368
15,7,3,B,4949051,548941
15,7,3,C,6982955,780376
15,7,5,A,12033599,1348179
15,7,5,B,5891284,652836
15,7,5,C,8909074,994449
15,7,7,A,16132638,1811713
15,7,7,B,7047986,782994
15,7,7,C,11193506,1250083
15,7,9,A,19299367,2167825
15,7,9,B,7197282,801550
15,7,9,C,12056337,1345347
15,9,1,A,11245106,1260394
15,9,1,B,3697039,409706
15,9,1,C,7745540,866488
15,9,3,A,12940936,1449637
15,9,3,B,4778624,530228
15,9,3,C,9105150,1017496
15,9,5,A,15130434,1694726
15,9,5,B,7051516,782753
15,9,5,C,10992775,1226615
15,9,7,A,19166293,2150021
15,9,7,B,8004866,888220
15,9,7,C,13321295,1486530
15,9,9,A,21922911,2458314
15,9,9,B,9219913,1024462
15,9,9,C,14382016,1605213
20,1,1,A,956970,101253
20,1,1,B,1612303,173222
20,1,1,C,4536824,500386
20,1,3,A,4607163,511828
20,1,3,B,2780231,305657
20,1,3,C,6418199,712952
20,1,5,A,9468342,1059107
20,1,5,B,1775907,191634
20,1,5,C,12708368,1421150
20,1,7,A,16933541,1903298
20,1,7,B,2667911,291416
20,1,7,C,10202256,1142662
20,1,9,A,27335947,3085568
20,1,9,B,4322935,476402
20,1,9,C,20587829,2314745
20,3,1,A,3589590,395732
20,3,1,B,1481519,160268
20,3,1,C,7519525,836123
20,3,3,A,7247618,806754
20,3,3,B,2570704,280395
20,3,3,C,9924850,1105223
20,3,5,A,12003821,1342317
20,3,5,B,2511109,272224
20,3,5,C,16785492,1877236
20,3,7,A,19359787,2174086
20,3,7,B,3246211,355391
20,3,7,C,12438720,1392239
20,3,9,A,29764745,3356208
20,3,9,B,4740845,521748
20,3,9,C,23545766,2644166
20,5,1,A,8436029,941829
20,5,1,B,2334233,254813
20,5,1,C,12782491,1428277
20,5,3,A,12096032,1353028
20,5,3,B,2821978,307143
20,5,3,C,14044848,1568417
20,5,5,A,16995016,1904168
20,5,5,B,3680833,401396
20,5,5,C,20892142,2337421
20,5,7,A,24270730,2726643
20,5,7,B,4412526,483940
20,5,7,C,16656213,1864622
20,5,9,A,34638734,3903970
20,5,9,B,5759320,634224
20,5,9,C,28375506,3184110
20,7,1,A,15079104,1689459
20,7,1,B,4222488,465593
20,7,1,C,15297673,1717035
20,7,3,A,18724161,2099048
20,7,3,B,5051706,556067
20,7,3,C,17239799,1926909
20,7,5,A,23623293,2650188
20,7,5,B,5639235,619482
20,7,5,C,21598533,2412323
20,7,7,A,30386276,3414095
20,7,7,B,6244370,688551
20,7,7,C,18974938,2123618
20,7,9,A,40735317,4588772
20,7,9,B,7485492,826962
20,7,9,C,32110529,3599615
20,9,1,A,24686702,2777355
20,9,1,B,6118516,680707
20,9,1,C,17109501,1916565
20,9,3,A,28290255,3181605
