gridSize,numBlueAgents,numRedAgents,flagPlacementType,block_jumps
10,1,1,A,19852
10,1,1,B,53824
10,1,1,C,72698
10,1,3,A,99635
10,1,3,B,47395
10,1,3,C,128909
10,1,5,A,165218
10,1,5,B,62195
10,1,5,C,216496
10,1,7,A,309335
10,1,7,B,92266
10,1,7,C,257880
10,1,9,A,367102
10,1,9,B,115171
10,1,9,C,266246
10,3,1,A,90454
10,3,1,B,91426
10,3,1,C,73429
10,3,3,A,155568
10,3,3,B,120587
10,3,3,C,160571
10,3,5,A,236009
10,3,5,B,135846
10,3,5,C,245508
10,3,7,A,360403
10,3,7,B,125459
10,3,7,C,278356
10,3,9,A,429810
10,3,9,B,130424
10,3,9,C,348553
10,5,1,A,184469
10,5,1,B,157130
10,5,1,C,124952
10,5,3,A,248429
10,5,3,B,173816
10,5,3,C,179476
10,5,5,A,325314
10,5,5,B,197332
10,5,5,C,292486
10,5,7,A,443530
10,5,7,B,223397
10,5,7,C,392842
10,5,9,A,511487
10,5,9,B,188373
10,5,9,C,397890
10,7,1,A,266720
10,7,1,B,153249
10,7,1,C,151074
10,7,3,A,315438
10,7,3,B,222166
10,7,3,C,246759
10,7,5,A,384124
10,7,5,B,256574
10,7,5,C,289243
10,7,7,A,465094
10,7,7,B,247027
10,7,7,C,335163
10,7,9,A,572499
10,7,9,B,209519
10,7,9,C,398646
10,9,1,A,333567
10,9,1,B,139958
10,9,1,C,194726
10,9,3,A,377313
10,9,3,B,160222
10,9,3,C,287166
10,9,5,A,439076
10,9,5,B,354613
10,9,5,C,381350
10,9,7,A,503314
10,9,7,B,325670
10,9,7,C,468572
10,9,9,A,589941
10,9,9,B,225956
10,9,9,C,475764
15,1,1,A,43851
15,1,1,B,85436
15,1,1,C,235784
15,1,3,A,262897
15,1,3,B,159683
15,1,3,C,249485
15,1,5,A,532761
15,1,5,B,264910
15,1,5,C,440538
15,1,7,A,1003892
15,1,7,B,448982
15,1,7,C,691244
15,1,9,A,1431791
15,1,9,B,485426
15,1,9,C,882247
15,3,1,A,241655
15,3,1,B,129002
15,3,1,C,233601
15,3,3,A,458816
15,3,3,B,249306
15,3,3,C,433121
15,3,5,A,719888
15,3,5,B,406712
15,3,5,C,601052
15,3,7,A,1184130
15,3,7,B,474817
15,3,7,C,824715
15,3,9,A,1611589
15,3,9,B,697055
15,3,9,C,1018168
15,5,1,A,561650
15,5,1,B,310294
15,5,1,C,344886
15,5,3,A,776199
15,5,3,B,436351
15,5,3,C,506059
15,5,5,A,1050563
15,5,5,B,519026
15,5,5,C,747557
15,5,7,A,1495608
15,5,7,B,631962
15,5,7,C,963146
15,5,9,A,1921952
15,5,9,B,822881
15,5,9,C,1130020
15,7,1,A,881598
15,7,1,B,412768
15,7,1,C,628903
15,7,3,A,1079368
15,7,3,B,548941
15,7,3,C,780376
15,7,5,A,1348179
15,7,5,B,652836
15,7,5,C,994449
15,7,7,A,1811713
15,7,7,B,782994
15,7,7,C,1250083
15,7,9,A,2167825
15,7,9,B,801550
15,7,9,C,1345347
15,9,1,A,1260394
15,9,1,B,409706
15,9,1,C,866488
15,9,3,A,1449637
15,9,3,B,530228
15,9,3,C,1017496
15,9,5,A,1694726
15,9,5,B,782753
15,9,5,C,1226615
15,9,7,A,2150021
15,9,7,B,888220
15,9,7,C,1486530
15,9,9,A,2458314
15,9,9,B,1024462
15,9,9,C,1605213
20,1,1,A,101253
20,1,1,B,173222
20,1,1,C,500386
20,1,3,A,511828
20,1,3,B,305657
20,1,3,C,712952
20,1,5,A,1059107
20,1,5,B,191634
20,1,5,C,1421150
20,1,7,A,1903298
20,1,7,B,291416
20,1,7,C,1142662
20,1,9,A,3085568
20,1,9,B,476402
20,1,9,C,2314745
20,3,1,A,395732
20,3,1,B,160268
20,3,1,C,836123
20,3,3,A,806754
20,3,3,B,280395
20,3,3,C,1105223
20,3,5,A,1342317
20,3,5,B,272224
20,3,5,C,1877236
20,3,7,A,2174086
20,3,7,B,355391
20,3,7,C,1392239
20,3,9,A,3356208
20,3,9,B,521748
20,3,9,C,2644166
20,5,1,A,941829
20,5,1,B,254813
20,5,1,C,1428277
20,5,3,A,1353028
20,5,3,B,307143
20,5,3,C,1568417
20,5,5,A,1904168
20,5,5,B,401396
20,5,5,C,2337421
20,5,7,A,2726643
20,5,7,B,483940
20,5,7,C,1864622
20,5,9,A,3903970
20,5,9,B,634224
20,5,9,C,3184110
20,7,1,A,1689459
20,7,1,B,465593
20,7,1,C,1717035
20,7,3,A,2099048
20,7,3,B,556067
20,7,3,C,1926909
20,7,5,A,2650188
20,7,5,B,619482
20,7,5,C,2412323
20,7,7,A,3414095
20,7,7,B,688551
20,7,7,C,2123618
20,7,9,A,4588772
20,7,9,B,826962
20,7,9,C,3599615
20,9,1,A,2777355
20,9,1,B,680707
20,9,1,C,1916565
20,9,3,A,3181605
20,9,3,B,1029528
20,9,3,C,2256618
20,9,5,A,3726367
20,9,5,B,813790
20,9,5,C,2747250
20,9,7,A,4456860
20,9,7,B,945198
20,9,7,C,2586169
20,9,9,A,5617874
20,9,9,B,1075393
20,9,9,C,3848010
25,1,1,A,192679
25,1,1,B,211649
25,1,1,C,836556
25,1,3,A,792865
25,1,3,B,311568
25,1,3,C,2008485
25,1,5,A,1254056
25,1,5,B,531668
25,1,5,C,1609805
25,1,7,A,2885633
25,1,7,B,865861
25,1,7,C,2725429
25,1,9,A,4228084
25,1,9,B,1452154
25,1,9,C,3286747
25,3,1,A,800648
25,3,1,B,331964
25,3,1,C,1259818
25,3,3,A,1319635
25,3,3,B,540362
25,3,3,C,2230545
25,3,5,A,1811573
25,3,5,B,754339
25,3,5,C,2201617
25,3,7,A,3464431
25,3,7,B,1063717
25,3,7,C,3354940
25,3,9,A,4784508
25,3,9,B,1627142
25,3,9,C,3947605
25,5,1,A,1846004
25,5,1,B,649679
25,5,1,C,2108540
