size,shuffles,block_jumps
10,30,37429
35,20,205411
30,40,390365
40,30,605669
50,40,1105805
10,10,9421
10,20,17486
50,50,4443815
15,70,16447667
20,50,676975
10,40,311377
40,20,267246
25,10,53453
40,10,139728
35,70,96029867
30,10,76628
20,70,30026242
25,40,269380
10,60,1509185
15,30,82844
15,20,37571
15,10,19853
25,60,9264080
35,30,463004
45,70,161082867
20,40,171145
50,20,415966
25,50,1072490
45,50,3585050
20,20,66006
30,20,147926
25,30,232024
35,10,108053
50,60,38697605
30,50,1560655
45,30,767784
45,20,337431
40,40,704585
10,50,863271
35,60,18597440
25,20,102784
15,50,374110
20,60,5820625
10,70,2372576
40,70,126451042
45,40,893820
50,70,199925342
45,60,31183400
20,10,34528
40,50,2818935
30,70,69815342
35,50,2145470
25,70,47815467
30,60,13521685
40,60,24483345
35,40,538100
15,60,3191320
30,30,335789
50,10,215828
45,10,175653
20,30,147709
15,40,95660
50,30,949349
